"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","Order","OrderBinary","OrderTrials","LogReactionTime1"
"150","6116895015bbaf252b477024","so",869,852,1255,"T1.61","test","VCV",1,"F","PositiveNegative","A","first","first",37,6.76734312526539
"151","6116895015bbaf252b477024","but",936,752,1049,"T1.42","test","VCV",1,"J","PositiveNegative","A","first","first",38,6.84161547647759
"152","6116895015bbaf252b477024","but",919,837,735,"T1.29","test","CVC",1,"F","PositiveNegative","A","first","first",39,6.82328612235569
"153","6116895015bbaf252b477024","but",1290,815,1297,"T1.26","test","CVC",1,"J","PositiveNegative","A","first","first",42,7.16239749735572
"154","6116895015bbaf252b477024","but",935,1008,613,"T1.36","test","CVV",1,"J","PositivePositive","A","first","first",43,6.84054652928869
"155","6116895015bbaf252b477024","so",681,1020,1537,"T1.65","test","VCC",1,"F","PositiveNegative","A","first","first",45,6.52356230614951
"156","6116895015bbaf252b477024","so",707,878,735,"T1.49","test","CVC",1,"F","PositivePositive","A","first","first",47,6.56103066589657
"157","6116895015bbaf252b477024","and",642,657,819,"T1.5","test","CVC",1,"F","PositivePositive","A","first","first",50,6.46458830368996
"158","6116895015bbaf252b477024","and",804,725,774,"T1.20","test","CVC",1,"J","PositiveNegative","A","first","first",52,6.68959926917897
"159","6116895015bbaf252b477024","so",781,800,989,"T1.59","test","CVV",1,"F","PositiveNegative","A","second","second",55,6.66057514983969
"160","6116895015bbaf252b477024","so",753,869,815,"T1.69","test","CVC",1,"J","PositivePositive","A","second","second",56,6.62406522779989
"161","6116895015bbaf252b477024","but",988,844,867,"T1.28","test","CVC",1,"J","PositivePositive","A","second","second",58,6.89568269774787
"162","6116895015bbaf252b477024","so",1411,658,941,"T1.58","test","CVV",1,"J","PositiveNegative","A","second","second",61,7.25205395185281
"163","6116895015bbaf252b477024","but",811,918,789,"T1.40","test","CVV",1,"F","PositivePositive","A","second","second",62,6.69826805411541
"164","6116895015bbaf252b477024","but",1191,767,774,"T1.46","test","VCC",1,"J","PositiveNegative","A","second","second",63,7.0825485693553
"165","6116895015bbaf252b477024","and",694,943,672,"T1.2","test","CVC",1,"J","PositivePositive","A","second","second",64,6.5424719605068
"166","6116895015bbaf252b477024","so",767,1565,1353,"T1.53","test","CVC",1,"F","PositiveNegative","A","second","second",66,6.64248680136726
"167","6116895015bbaf252b477024","and",593,765,1007,"T1.9","test","CVV",1,"F","PositiveNegative","A","second","second",67,6.38519439899773
"168","6116895015bbaf252b477024","and",3201,812,844,"T1.8","test","CVV",1,"J","PositivePositive","A","second","second",69,8.07121853996986
"169","6116895015bbaf252b477024","but",982,747,1438,"T1.35","test","CVV",1,"J","PositivePositive","A","second","second",71,6.88959130835447
"170","6116895015bbaf252b477024","so",733,771,879,"T1.55","test","CVV",1,"F","PositivePositive","A","second","second",72,6.59714570188665
"171","6116895015bbaf252b477024","but",723,815,1120,"T1.39","test","CVV",1,"F","PositivePositive","A","second","second",73,6.58340922215876
"172","6116895015bbaf252b477024","so",839,780,1009,"T1.62","test","VCV",1,"F","PositivePositive","A","second","second",74,6.73221070646721
"173","6116895015bbaf252b477024","but",668,1426,1277,"T1.43","test","VCV",1,"J","PositivePositive","A","second","second",76,6.50428817353665
"174","6116895015bbaf252b477024","so",776,1090,835,"T1.56","test","CVV",1,"F","PositivePositive","A","second","second",77,6.65415252018322
"175","6116895015bbaf252b477024","so",939,758,840,"T1.60","test","CVV",1,"F","PositiveNegative","A","second","second",79,6.84481547920826
"176","6116895015bbaf252b477024","so",796,1226,1660,"T1.50","test","CVC",1,"F","PositivePositive","A","second","second",80,6.67959918584438
"177","6116895015bbaf252b477024","and",896,897,797,"T1.23","test","VCV",1,"J","PositiveNegative","A","second","second",81,6.79794041297493
"178","6116895015bbaf252b477024","but",816,780,547,"T1.25","test","CVC",1,"J","PositiveNegative","A","second","second",82,6.70441435496411
"179","6116895015bbaf252b477024","so",727,764,969,"T1.67","test","VCC",1,"J","PositiveNegative","A","second","second",83,6.58892647753352
"180","6116895015bbaf252b477024","and",698,798,877,"T1.3","test","CVC",1,"F","PositiveNegative","A","second","second",85,6.54821910276237
"181","6116895015bbaf252b477024","so",882,785,503,"T1.71","test","CVV",1,"J","PositivePositive","A","second","second",87,6.78219205600679
"182","6116895015bbaf252b477024","but",877,822,936,"T1.31","test","CVC",1,"F","PositivePositive","A","second","second",89,6.77650699237218
"183","6116895015bbaf252b477024","but",2309,693,1043,"T1.38","test","CVV",1,"F","PositiveNegative","A","second","second",92,7.7445698093545
"184","6116895015bbaf252b477024","so",824,719,1076,"T1.54","test","CVC",1,"F","PositiveNegative","A","second","second",95,6.71417052990947
"185","6116895015bbaf252b477024","but",782,681,1122,"T1.33","test","CVV",1,"J","PositiveNegative","A","second","second",96,6.66185474054531
"186","6116895015bbaf252b477024","and",694,792,612,"T1.7","test","CVV",1,"J","PositivePositive","A","second","second",97,6.5424719605068
"187","6116895015bbaf252b477024","so",733,933,1064,"T1.68","test","VCC",1,"J","PositivePositive","A","second","second",98,6.59714570188665
"188","6116895015bbaf252b477024","but",575,815,2637,"T1.34","test","CVV",1,"J","PositiveNegative","A","second","second",99,6.35437004079735
"189","6116895015bbaf252b477024","and",668,772,994,"T1.11","test","CVV",1,"F","PositivePositive","A","second","second",100,6.50428817353665
"190","6116895015bbaf252b477024","but",722,1136,1008,"T1.41","test","VCV",1,"F","PositivePositive","A","second","second",102,6.58202513889283
"191","6116895015bbaf252b477024","but",943,798,847,"T1.30","test","CVC",1,"F","PositiveNegative","A","second","second",103,6.84906628263346
"192","6116895015bbaf252b477024","and",832,931,1183,"T1.1","test","CVC",1,"J","PositivePositive","A","second","second",104,6.72383244082121
"193","6116895015bbaf252b477024","so",1058,819,1271,"T1.72","test","CVV",1,"J","PositivePositive","A","second","second",105,6.96413561241824
"194","6116895015bbaf252b477024","and",784,843,872,"T1.4","test","CVC",1,"F","PositiveNegative","A","second","second",106,6.66440902035041
"195","6116895015bbaf252b477024","and",1013,979,824,"T1.16","test","VCC",1,"J","PositivePositive","A","second","second",107,6.92067150424868
"196","6116895015bbaf252b477024","so",1321,772,1154,"T1.70","test","CVC",1,"J","PositivePositive","A","second","second",108,7.18614430452233
